fund_id,price_dt,price,volume,net_value_dt,net_value,est_val_dt,est_val,est_val_increase_rt,est_error_rt,discount_rt,amount_dt,amount,amount_incr,amount_increase_rt,ref_increase_rt,is_est,code,est_val2,iopv
160218,2025-10-22,0.761,2.330,2025-10-22,0.7624,2025-10-22,0.7623,0.27,-0.01,-0.18,,2741,10,0.370,0.28,0,160218,,
160218,2025-10-23,0.755,0.630,2025-10-23,0.7553,2025-10-23,0.7554,-0.92,0.01,-0.04,,2741,0,0.000,-0.97,0,160218,,
160218,2025-10-24,0.75,1.040,2025-10-24,0.751,2025-10-24,0.7509,-0.59,-0.01,-0.13,,2741,0,0.000,-0.62,0,160218,,
160218,2025-10-27,0.75,18.550,2025-10-27,0.7501,2025-10-27,0.7501,-0.11,0.00,-0.01,,2741,0,0.000,-0.12,0,160218,,
160218,2025-10-28,0.747,3.400,2025-10-28,0.7438,2025-10-28,0.7438,-0.84,0.00,0.43,,2741,0,0.000,-0.88,0,160218,,
160218,2025-10-29,0.747,5.550,2025-10-29,0.7481,2025-10-29,0.7481,0.58,0.00,-0.15,,2741,0,0.000,0.61,0,160218,,
160218,2025-10-30,0.74,10.520,2025-10-30,0.7364,2025-10-30,0.7364,-1.57,0.00,0.49,,2741,0,0.000,-1.65,0,160218,,
160218,2025-10-31,0.742,5.320,2025-10-31,0.7396,2025-10-31,0.7397,0.45,0.01,0.32,,2741,0,0.000,0.47,0,160218,,
160218,2025-11-03,0.739,4.160,2025-11-03,0.7355,2025-11-03,0.7355,-0.55,0.00,0.48,,2741,0,0.000,-0.58,0,160218,,
160218,2025-11-04,0.732,2.440,2025-11-04,0.7301,2025-11-04,0.7301,-0.73,0.00,0.26,,2741,0,0.000,-0.77,0,160218,,
160218,2025-11-05,0.735,2.470,2025-11-05,0.7321,2025-11-05,0.7320,0.27,-0.01,0.4,,2747,6,0.220,0.28,0,160218,,
160218,2025-11-06,0.734,1.640,2025-11-06,0.7309,2025-11-06,0.7308,-0.17,-0.01,0.42,,2750,3,0.110,-0.18,0,160218,,
160218,2025-11-07,0.73,3.400,2025-11-07,0.7288,2025-11-07,0.7287,-0.29,-0.01,0.16,,2751,1,0.040,-0.31,0,160218,,
160218,2025-11-10,0.731,2.860,2025-11-10,0.7353,2025-11-10,0.7354,0.91,0.01,-0.58,,2752,1,0.040,0.96,0,160218,,
160218,2025-11-11,0.741,4.190,2025-11-11,0.7425,2025-11-11,0.7425,0.98,0.00,-0.2,,2752,0,0.000,1.03,0,160218,,
160218,2025-11-12,0.738,1.800,2025-11-12,0.739,2025-11-12,0.7390,-0.47,0.00,-0.14,,2753,1,0.040,-0.49,0,160218,,
160218,2025-11-13,0.745,3.930,2025-11-13,0.7453,2025-11-13,0.7453,0.86,0.00,-0.04,,2753,0,0.000,0.90,0,160218,,
160218,2025-11-14,0.747,9.030,2025-11-14,0.7431,2025-11-14,0.7432,-0.29,0.01,0.52,,2753,0,0.000,-0.30,0,160218,,
160218,2025-11-17,0.742,8.850,2025-11-17,0.7472,2025-11-17,0.7473,0.56,0.01,-0.7,,2753,0,0.000,0.59,0,160218,,
160218,2025-11-18,0.736,4.450,2025-11-18,0.7334,2025-11-18,0.7330,-1.90,-0.05,0.35,,2758,5,0.180,-2.00,0,160218,,
160218,2025-11-19,0.732,3.390,2025-11-19,0.7237,2025-11-19,0.7238,-1.31,0.01,1.15,,2758,0,0.000,-1.38,0,160218,,
160218,2025-11-20,0.737,6.670,2025-11-20,0.7265,2025-11-20,0.7266,0.40,0.01,1.45,,2760,2,0.070,0.42,0,160218,,
